"Type","Category","Message"
"fraud","Loan Scam","Struggling with bills? Rs. 5 lakh loan at 0% interest! Apply: http://quickrelief.loanindia.net or call 8901234567 now!"
"fraud","Financial Fraud","IMPORTANT: Rs. 5,000 refund pending for your HDFC card. Claim it at http://hdfc-refundnow.in before it expires!"
"fraud","Impersonation","Urgent! This is Income Tax Dept. Your refund is pending. Pay processing fee now at http://it-refundindia.co to avoid cancellation. Hurry!"
"normal","Delivery Update","Your order has been dispatched. Expect it by tomorrow afternoon in Bangalore."
"normal","Travel","Bro, got a great deal on flights to Goa. Should we book now?"
"fraud","Financial Fraud","SHOCKING: Fraud detected on your Kotak account! Secure it at http://kotak-verifylogin.com or lose everything!"
"normal","Education","Heads-up, the Physics lab session is shifted to next Tuesday. Check the timetable."
"normal","Social","Yo, let’s hit up the local dhaba for some butter chicken tonight. 7 PM cool?"
"normal","Delivery Update","Your item has been shipped. It’ll reach you in 2 days in Ahmedabad. Thanks for waiting!"
"normal","Delivery Update","Hey there, your delivery is scheduled for today. Look out for it by 7 PM in Jaipur."
"fraud","Identity Theft","Threat alert! Your PAN details leaked. Update at http://pan-guardindia.co or risk financial loss!"
"fraud","Tech Support Scam","Warning! Virus detected on your device. Secure it urgently by calling 1-800-333-9876 before data loss!"
"fraud","Identity Theft","Alert! Identity theft detected on your PAN card. Secure it at http://pan-protectindia.com before it's too late!"
"normal","Travel","My train to Kolkata is delayed by 30 mins. Will keep you posted."
"normal","Service Inquiry","Hello, is your gym in Delhi offering any Holi special membership plans?"
"normal","Education","Reminder: Submit your Economics project by Friday. Drop it at Prof. Sharma’s office."
"fraud","Loan Scam","Final notice! Rs. 6 lakh loan approval pending. Click: http://fastapprove.indiadebt.co or face cancellation!"
"normal","Social","Bro, let’s watch the IPL match at my place. Snacks on me!"
"fraud","Tech Support Scam","Critical Alert! Your phone is infected with malware. Call our tech support at 1800-444-5678 now to save your data!"
"fraud","Loan Scam","Critical alert! Rs. 2 lakh emergency loan ready. Verify at http://urgentcash.indialend.in or call 9123456780 today!"
"fraud","Phishing","Your Airtel account will be deactivated in 24 hrs. Update KYC now: http://airtel-kycupdate.com. Hurry!"
"fraud","Job Offer Scam","EMERGENCY! ₹30,000/month job offer closing today. Call 9876543210 or click: http://jobnowindia.in"
"fraud","Investment Scams","Unbelievable! ₹5,000 investment = ₹50,000 in 5 days. Don’t wait! Visit: http://cashboom-chennai.com"
"fraud","Fake Delivery Scam","Urgent! Your Amazon parcel is delayed due to address error. Update at http://amazon-fixdelivery.co.in or it’s returned!"
"fraud","Emotional Manipulation","Nani, it’s your favorite grandson. I’m stranded in Goa with no money. Send Rs. 3,000 at http://travelhelp-goa.in. I’m desperate!"
"normal","Work Update","Reminder: Submit your expense claims by today for Diwali payout."
"fraud","Impersonation","HDFC Alert! Unusual activity detected. Secure your account at http://hdfc-safetycheck.in before it’s too late. Don’t ignore!"
"fraud","Emotional Manipulation","Grandma, it’s Rohan. I lost everything in a fire in Kolkata. Send Rs. 7,000 to rebuild. Use http://crisisrelief-bengal.net. I’m broken!"
"normal","Entertainment","Yo, Comedy Nights with Kapil is hilarious this week. Don’t miss it!"
"fraud","Investment Scams","Danger! Your financial future is at risk. Invest today for huge returns. Click: http://safehaven-bengaluru.com"
"fraud","Subscription Scam","Hey, your MX Player Premium is about to lapse. Renew for Rs. 99 at http://mxplayer-indiaupdate.com. Don’t wait!"
"fraud","Lottery Scam","Urgent! Your Rs. 10 lakh lottery prize is waiting! Don’t lose it. Click http://indialuckydraw.claimfast.in to secure it before midnight!"
"fraud","Lottery Scam","Congrats! You've won Rs. 5 lakh in the Mumbai Mega Lottery! Claim now at http://mumbailottery.winnow.co.in. Hurry, offer expires today!"
"normal","Service Inquiry","Hi, I’m facing issues with my DTH connection. Can you help fix it today?"
"normal","Family","Sis, found a cool kurta at Janpath. Want me to grab it for you?"
"normal","Education","Don’t forget, tomorrow is the last day to pay the semester fees at the admin block."
"fraud","Identity Theft","Warning! Aadhaar fraud reported in your name. Confirm identity at http://verify-aadhaarhub.com or risk arrest!"
"normal","Sports","Hey, badminton practice at 6 AM tomorrow near Rajouri Garden. Be there, ok?"
"normal","Delivery Update","Hi, your package is arriving soon! Should be with you by 4 PM in Pune."
"normal","Family","Bro, can you get some paneer from the market for dinner?"
"fraud","Investment Scams","Don’t miss out! Invest ₹10,000 & get ₹50,000 in 7 days. Limited slots! Call: 9876543210"
"normal","Education","Hey, did you finish the Chemistry assignment? Need help with the last question."
"normal","Education","Let’s plan a group study for Sanskrit at my place this weekend. You in?"
"fraud","Emotional Manipulation","Uncle, it’s Aman. I’m in deep trouble in Ahmedabad. Need Rs. 9,000 to escape danger. Click http://safeguard-gujarat.in. Save my life!"
"normal","Education","Hey buddy, got the Biology textbook? Can I borrow it for a day? Thanks!"
"normal","Entertainment","Let’s hit up a dandiya night this Navratri. Gonna be fun! You in?"
"normal","Recreation","Hi, let’s catch the IPL match at a sports bar tonight. Beer and cheers!"
"fraud","Service Fraud","Alert! Your electricity bill payment failed. Avoid power cut, pay immediately at http://ebill-indiapay.co!"
"normal","Service Inquiry","Are there any offers on flight tickets to Goa for New Year’s Eve?"
"normal","Entertainment","Planning to watch RRR again. Wanna join for a re-run at INOX?"
"normal","Entertainment","Just watched the latest IPL match. What a thriller! Did u see it?"
"fraud","Service Fraud","Pay your overdue water bill now to avoid disconnection! Click http://waterboard-indpay.com before it’s too late!"
"fraud","Identity Theft","Don’t ignore! Aadhaar breach detected. Click http://secure-aadhaarverify.com to save your identity now!"
"fraud","Service Fraud","Emergency! Your Tata Sky subscription is inactive. Reactivate at http://tatasky-renewal.in or lose channels!"
"fraud","Fake Delivery Scam","Delhivery Warning: Your shipment is on hold due to unpaid fee. Pay now at http://delhivery-feesecure.in to release it!"
"fraud","Tech Support Scam","Threat! Your phone is under attack. Call 1-800-999-2233 today to prevent loss of personal info!"
"fraud","Impersonation","Dear Sir/Madam, your Ration Card benefits are expiring. Renew at http://ration-indiarenew.co or lose subsidy. Immediate action needed!"
"normal","Travel","Hey, let’s plan a weekend in Jaipur. Pink City vibes, anyone?"
"normal","Delivery Update","Your parcel is on its way! Should arrive by tomorrow morning in Gurgaon. Hang tight!"
"normal","Social","Hey, did you check out the new Bollywood flick? Thoughts?"
"normal","Service Inquiry","Do you guys have EMI options for laptops? Planning to buy one soon."
"fraud","Tech Support Scam","URGENT! Your device is compromised. Call our Indian tech team at 1800-777-3344 to avoid financial loss!"
"fraud","Financial Fraud","ATTENTION: Your PNB account is at risk. Call 1800-555-1234 or visit http://pnb-safety.in to prevent closure!"
"fraud","Identity Theft","Aadhaar scam alert! Your benefits are at stake. Secure ID at http://aadhaar-shieldindia.com before deactivation!"
"normal","Sports","Did you hear? India won the Kabaddi World Cup again! So proud!"
"normal","Work Update","Hey, just a reminder to finish the Q2 report by tonight. Don’t miss it!"
"normal","Work Update","Quick update: Client call at 2 pm today. Prep your points, ok?"
"fraud","Loan Scam","Last warning! Rs. 4 lakh loan offer expires today. Secure it at http://getfunds.indiafinance.org or regret later!"
"fraud","Job Offer Scam","High-Paying Job! ₹25,000/week from Kolkata. No interview. Secure spot: http://koljobsfast.co.in"
"fraud","Subscription Scam","Immediate action needed! Your AltBalaji sub will be deactivated. Pay Rs. 149 at http://altbalaji-secure.in now!"
"fraud","Loan Scam","Get Rs. 4 lakh loan instantly! No paperwork needed. Apply: http://easycash.bharatfunds.in or call 9870123456 now!"
"fraud","Phishing","URGENT! Your ICICI credit card is blocked. Verify details immediately: http://icici-cardverify.in or call 1800-123-4567."
"fraud","Service Fraud","Critical! Your BSNL connection will be blocked in 24 hours. Pay dues at http://bsnl-quickpay.org now!"
"fraud","Financial Fraud","LAST CHANCE: Your SBI loan EMI is overdue. Pay now at http://sbi-loanpay.in or face legal action!"
"fraud","Job Offer Scam","Act Fast! Remote job with ₹600/day. Don’t let others take it! Apply: http://indiaremotehiring.net"
"normal","Delivery Update","Hey, your order is out for delivery! Expect it by 6 PM today in Mumbai."
"fraud","Tech Support Scam","Danger! Hacker activity on your mobile. Call 1-844-555-1122 immediately to block unauthorized access!"
"normal","Recreation","Yo, let’s hit the beach in Goa this weekend. Sun, sand, and some vada pav!"
"fraud","Job Offer Scam","Golden Opportunity! Work in Pune, earn ₹35,000/month. Apply before it’s gone: http://punejobshub.in"
"fraud","Phishing","CRITICAL! Your Kotak Bank account needs verification. Click: http://kotak-safebank.in or face legal action."
"fraud","Phishing","WARNING! Your Axis Bank login failed. Secure your account before it’s locked: http://axis-logincheck.co.in. Act fast!"
"fraud","Emotional Manipulation","Didi, I’ve been kidnapped in Jaipur. They’re asking Rs. 20,000 ransom. Pay at http://rescue-rajasthan.net or I’m gone. Help me!"
"normal","Sports","Let’s hit the local ground for a quick gully cricket match this evening. You in?"
"normal","Travel","Flight to Bangalore is on time. See you at the airport in 3 hrs!"
"fraud","Service Fraud","Hurry! Your Dish TV pack expires in 2 hours. Renew at http://dishtv-fastpay.in to avoid interruption!"
"normal","Sports","Yo, did you see Kohli’s century yesterday? Man, what a game! Talk later?"
"fraud","Identity Theft","Emergency! Your PAN is being misused. Call 1800-555-1234 or visit http://pan-safenow.in to stop fraud!"
"normal","Recreation","Let’s have a potluck at my place this Friday. Bring your fave desi dish!"
"fraud","Job Offer Scam","Dream Job! Earn ₹50,000/month with zero investment. Hurry, limited slots! Apply: http://indiajobsecure.net"
"normal","Education","Hey, the Maths seminar is on tomorrow at 11 AM in Auditorium 1. Don’t miss it!"
"normal","Recreation","Hey, tried the new Zumba class at the gym near Andheri? Let’s go together!"
"normal","Service Inquiry","Hey, do you provide home delivery for groceries in Bangalore?"
"fraud","Impersonation","This is TRAI. Your mobile number will be blocked due to KYC failure. Update now at http://trai-kycupdate.in. Don’t lose service!"
"normal","Family","Hey Mom, don’t skip your evening tea and meds. Take care!"
"fraud","Service Fraud","Danger! Your electricity meter is flagged for tampering. Verify at http://powercheck-ind.org or face penalty!"
"normal","Delivery Update","Yo, your delivery is coming today! Will drop by evening in Kolkata. Stay tuned!"
"normal","Social","Hey, got any plans for Navratri? Let’s do garba night!"
"fraud","Loan Scam","Need money? Rs. 3 lakh loan ready! Don’t delay, click: http://fastmoney.quickcredit.co.in or risk missing out!"
"fraud","Subscription Scam","Your Voot account is expiring in 2 hours! Save it now for Rs. 49 at http://voot-urgentrenew.co.in. Act fast!"
"normal","Sports","Reminder: IPL finals tomorrow! Chennai Super Kings vs Mumbai Indians. Don’t miss it!"
"fraud","Subscription Scam","Your Zee5 subscription payment failed. Avoid suspension, update details now at http://zee5-indiafix.com. Hurry!"
"normal","Service Inquiry","Hey, what time does your shop open in Diwali week? Need to pick up some stuff."
"fraud","Impersonation","PAN Card Update Required! Avoid legal action. Submit details at http://panverify-india.org within 24 hours. Income Tax Dept."
"fraud","Financial Fraud","EMERGENCY: Rs. 10,000 debited from your HDFC account. Not you? Click http://hdfc-transactverify.in to stop it!"
"fraud","Job Offer Scam","Job Alert! Earn ₹30,000/month from home. No experience needed. Apply now: http://quickjobindia.co"
"fraud","Phishing","Reliance Jio: Claim your free 10GB data now! Limited offer, click: http://jio-freepack.in. Don’t miss out!"
"normal","Education","Yo, let’s meet up at the canteen after class to discuss the History notes. Cool?"
"normal","Work Update","Good news! Project approval came through. Let’s discuss tomorrow."
"normal","Sports","Wanna go for a morning run at India Gate this Sunday? Let me know!"
"normal","Delivery Update","Great news! Your Flipkart order is en route. Delivery expected by tonight in Hyderabad."
"fraud","Fake Delivery Scam","Your BlueDart shipment is stuck! Verify details urgently at http://bluedart-securetrack.in or face delivery failure."
"fraud","Lottery Scam","Don’t miss out! Rs. 4 lakh lottery win awaits you. Click http://luckydrawindia.getcash.in to claim before someone else does!"
"fraud","Job Offer Scam","URGENT! Work-from-home job in Delhi. ₹500/day guaranteed. Don’t miss out! Click: http://delhiearnfast.in"
"fraud","Investment Scams","Immediate action needed! Invest now for 10x profits in 72 hrs. Don’t delay: http://quickgain-pune.com"
"fraud","Financial Fraud","URGENT: SBI fraud alert! Suspicious activity detected. Verify identity at http://sbi-securecheck.in or lose funds!"
"fraud","Financial Fraud","WARNING: Your Axis Bank KYC is expired. Update now at http://axis-kycupdate.com or account will be blocked in 24 hrs!"
"fraud","Fake Delivery Scam","Delhivery Alert: Your package awaits pickup. Pay ₹99 customs fee at http://delhivery-paynow.com to avoid cancellation."
"normal","Education","Exam timetable is out! Check the notice board near the library for your slots."
"fraud","Phishing","EMERGENCY! Your PNB account is compromised. Confirm identity at: http://pnb-secureverify.in or lose access."
"fraud","Subscription Scam","Critical: Your Disney+ Hotstar sub failed payment. Fix it at http://disneyhotstar-fixpay.in or lose streaming rights!"
"normal","Entertainment","I’m hooked on Indian Idol this season. Those singers are unreal! U watching?"
"normal","Family","Dad, please send me the recipe for your awesome rajma. Craving it!"
"normal","Recreation","Hey, joining the kabaddi practice today at the school field? Should be fun!"
"fraud","Fake Delivery Scam","URGENT: Your Ajio parcel delivery failed. Update info at http://ajio-retrydelivery.co.in or lose your package forever!"
"fraud","Phishing","BSNL Alert! Your number is at risk of suspension. Update details: http://bsnl-numberverify.in. Do it today!"
"fraud","Investment Scams","Last chance! Join our secret Nifty trading group & earn lakhs overnight. Hurry: http://niftyrich-india.com"
"normal","Entertainment","Hey, let’s catch the new Bollywood flick at PVR this weekend. Up for it?"
"fraud","Subscription Scam","Warning: Your Amazon Prime membership will auto-charge Rs. 999. Cancel now at http://prime-cancelindia.net to save!"
"normal","Family","Happy Birthday, Chachu! Let’s celebrate with golgappas this weekend!"
"fraud","Impersonation","Hi, this is your boss, Mr. Sharma. I need Rs. 10,000 urgently for a client gift. Transfer now to 9876543210. Call me after."
"fraud","Identity Theft","Urgent! Your Aadhaar is at risk of suspension. Verify now at http://aadhaar-safeguard.co.in or lose benefits!"
"normal","Family","Mom, I’m bringing friends over for Diwali snacks. Hope that’s ok!"
"fraud","Lottery Scam","Lucky you! Win Rs. 6 lakh in the Bangalore Bumper Lottery! Secure it at http://bangalorelottery.claimhere.in before it’s gone!"
"fraud","Impersonation","Income Tax Notice: You owe Rs. 50,000. Pay now at http://taxpay-indiaresolve.in to avoid jail time. This is your last warning!"
"fraud","Lottery Scam","Urgent Action Needed! Rs. 7 lakh lottery prize is slipping away! Secure it at http://indialottery.savenow.in. Act fast!"
"normal","Entertainment","Just finished bingeing Panchayat. So relatable! Have u seen it yet?"
"fraud","Subscription Scam","Alert! Your SonyLIV account is at risk of cancellation. Secure it now at http://sonyliv-protect.in before it's too late!"
"normal","Sports","Yo, football fever! ISL match tonight, Kerala Blasters vs Bengaluru FC. Watching?"
"fraud","Investment Scams","Sir/Madam, your ₹1 lakh can become ₹10 lakh in days with our plan. Call urgently: 9123456789"
"normal","Social","How’s it going? Miss our chai chats at the tapri. Let’s meet soon!"
