Label,Subcategory,Transcript
fraud,Financial Fraud,"hello sir, your SBI account is compromised. Share your account number and PIN to secure it immediately."
normal,na,"hey, can you send me the meeting link for tomorrow? Thanks!"
intermediate,Emotional Manipulation,"hi, it’s your friend Neha. I’m struggling with bills and need 10,000 INR."
fraud,Identity Theft,"hello, i am from bank KYC team. Please share your Aadhar number to complete verification."
normal,na,good morning! Hope you’re having a great day.
intermediate,Emotional Manipulation,"hi, it’s your colleague Rakesh. I’m in a financial crisis and need 15,000 INR."
fraud,Phishing,"hi, your Paytm account needs verification to continue. Please call 09876543211 to confirm your details."
normal,na,can you pick up some groceries on your way home? Need milk and bread.
fraud,Emotional Manipulation,"hi, it’s your neighbor Anil. I’m short on cash for groceries, can you send 3,000 INR? UPI: anil789@upi."
fraud,Impersonation,"hi, this is from the Tax department. Call 09876543223 to discuss your filing."
normal,na,just saw your missed call. What’s up?
intermediate,Potential Impersonation,"hi, this is from the Tax department. we need to discuss your filing."
fraud,Phishing,"hi, your PhonePe account requires verification. Call 09876543217 to update."
normal,na,thanks for the party invite! I’ll be there by 7 PM.
intermediate,Phishing,"hi, your PhonePe account needs verification."
fraud,Service Fraud,"hello, your Jio SIM will be deactivated in 24 hours. Share the OTP sent to your phone to activate."
normal,na,"hey, can you share the recipe for that cake? It was delicious!"
intermediate,Emotional Manipulation,"hi, it’s your old classmate Vikram. I’m short on rent and need 5,000 INR."
fraud,Phishing,your Amazon account is locked! Click here to unlock: http://amazon.security.xyz and enter your details.
normal,na,let’s catch up soon. When are you free?
intermediate,Emotional Manipulation,"hi, it’s your niece Priya. I lost my wallet and need 2,000 INR for bus fare."
fraud,Financial Fraud,"hello, your HDFC loan EMI is overdue. Pay 10,000 INR via this link: http://hdfc.emi.xyz to avoid penalties."
normal,na,can you send me the address for the event? Got lost last time!
intermediate,Emotional Manipulation,"hey, it’s your friend Sanjay. Need 7,000 INR for a car repair."
fraud,Identity Theft,"hello sir, i am from Aadhar office. Your Aadhar is suspended. Share your Aadhar number and OTP to reactivate."
normal,na,happy birthday! Hope you have an amazing day!
intermediate,Emotional Manipulation,"hi, it’s your cousin Meena. I’m stuck at the airport and need 4,000 INR."
fraud,Impersonation,"this is Income Tax officer Patil. You owe 75,000 INR in taxes. Pay now or face jail. Call 09887654321."
normal,na,just checking if you’re free for a call later today.
intermediate,Emotional Manipulation,"hi, it’s your colleague Priya. I’m behind on rent and need 6,000 INR."
fraud,Phishing,"you’ve won a 10,000 INR Flipkart voucher! Claim it here: http://flipkart.lucky.xyz and enter your card details."
normal,na,are you coming to the party tonight? Let me know!
intermediate,Emotional Manipulation,"hey, it’s your old friend Rohan. Need 5,000 INR for a medical bill."
fraud,Service Fraud,"hello, your Airtel broadband will be disconnected tonight. Pay 2000 INR via UPI: airtelcare@okaxis."
normal,na,"hey, can you send me the Zoom link for today’s meeting?"
intermediate,Emotional Manipulation,"hi, it’s your classmate Neeta. I’m in a pinch and need 2,000 INR."
fraud,Financial Fraud,"hello, your ICICI debit card is blocked. Share your card number and CVV to unblock it."
normal,na,"hi, let’s grab dinner this weekend. Any place you prefer?"
intermediate,Emotional Manipulation,"hi, it’s your uncle Vinod. Need 8,000 INR for a family issue."
fraud,Identity Theft,"hello, i am from PAN card office. Your PAN needs linking to Aadhar. Share both numbers and OTP."
normal,na,just finished the book you recommended. Loved it!
intermediate,Emotional Manipulation,"hey, it’s your neighbor Sunita. Need 4,000 INR for school fees."
fraud,Impersonation,"this is Tax officer Desai. You’re eligible for a 15,000 INR refund. Share your bank details to process."
normal,na,"hey, are you free for a movie night on Saturday?"
intermediate,Emotional Manipulation,"hi, it’s your friend Arjun. I’m short on cash and need 5,000 INR."
fraud,Phishing,your Paytm account is at risk! Update KYC here: http://paytm.kycupdate.co and enter your details.
normal,na,"hi, can you share the group photo from the party?"
intermediate,Emotional Manipulation,"hi, it’s your cousin Rahul. Need 3,000 INR for a bus ticket."
