Call_Transcript,Label,Category
"Dear customer, your Paytm wallet has been blocked for security reasons. Please confirm your PAN details to reactivate your account.",fraud,Phishing
"Congratulations! Your mobile number has been selected for a brand new Honda Activa. To claim, please share your full name and address with our executive. Offer valid today only.",fraud,Lottery Scam
"Dear customer, your electricity bill has been kept on hold due to server issue. To avoid disconnection, please confirm your bank details immediately.",fraud,Phishing
Congratulations! You’ve been selected for an exclusive opportunity. Invest ₹5000 today and watch your money grow by 3x in just one month! WhatsApp 8200XXXXXX for more details. Limited seats available.,fraud,Investment Scams
"Hello, this is Anjali from the Income Tax Department. There is an issue with your recent filing. Please provide your PAN number immediately to avoid penalties.",fraud,Identity Theft
"Dear customer, your bank account will be blocked today due to suspicious activity. To avoid deactivation, urgently verify your details by calling 08045879234.",fraud,Phishing
"Your electricity bill is overdue. To avoid disconnection, pay immediately by sharing your card details at this number: 7592048712. Act fast!",fraud,Financial Fraud
"Dear customer, your PAN card will be blocked shortly due to document mismatch. Kindly verify your details now by calling 89288040XX. Urgent action required.",fraud,Identity Theft
"Dear customer, your Paytm wallet is under review due to suspicious activity. Please confirm your account details now to avoid permanent suspension. Call 9286XXXXXX.",fraud,Phishing
"Dear user, your electricity bill payment is overdue. To avoid disconnection, please call 1800-212-7890 immediately and confirm your bank details.",fraud,Service Fraud
"Dear customer, your Paytm account is suspended. To reactivate, please share your OTP urgently or your wallet will be blocked.",fraud,Phishing
"Congratulations! Your PAN card is selected for a special cashback of ₹3,000. Please verify your details urgently at 9830xxxx61 to receive your amount.",fraud,Identity Theft
"Airtel user, your prepaid account will be suspended due to KYC expiry. To avoid disruption, please urgently share your Aadhaar number and OTP received. Call 92039XXXXX now.",fraud,Phishing
Congratulations! You have been shortlisted for an exclusive personal loan with zero processing fees. Please share your PAN number to expedite the process. Call 9292XXXXXX now.,fraud,Loan Scam
"Congratulations! Your Aadhaar has been selected for a special cashback offer. Please confirm your details on this link to receive ₹10,000. Limited time only!",fraud,Phishing
Congrats! You are shortlisted for special Govt subsidy. Please confirm your PAN and bank details to receive benefits. Call 1800-111-9876 now.,fraud,Financial Fraud
"Dear customer, your electricity bill shows an overpayment. For instant refund, please confirm your account details on this call.",fraud,Financial Fraud
"This is SBI customer service. We have noticed unusual activity on your account, please share your OTP to secure your funds immediately.",fraud,Phishing
"Congratulations! Your account is selected for a surprise cashback of ₹5,000. To claim, share your account number and OTP with our verification officer now. Don’t miss out!",fraud,Financial Fraud
"Congratulations! Your Aadhaar has been randomly chosen for a special Rs. 10,000 government relief. Share your OTP now to credit the amount instantly.",fraud,Phishing
Congratulations! Your PAN card verification is pending for cashback eligibility. Please share your date of birth and full name to activate the benefit.,fraud,Identity Theft
