"Type","Category","Message"
"normal","Entertainment","Bro, the latest episode of Sacred Games is insane! Watched it yet? Let’s chat."
"fraud","Impersonation","Attention! Your PAN card is flagged. Update details now to avoid fines: http://pan-updateindia.net"
"fraud","Loan Scam","Last chance! Rs. 4 lakhs loan approved. Don’t miss out! Click: http://quickfunds.safeloan.co or dial 9876543210."
"normal","Travel","Packed for our Darjeeling trek. Bring warm clothes, it’s chilly!"
"fraud","Financial Fraud","URGENT: Your SBI net banking is locked. Restore access at http://sbi-safeaccess.com or risk account suspension!"
"normal","Travel","Flight to Bangalore delayed by 1 hour. Will update you soon."
"normal","Education","Heads-up, the Chemistry practical is rescheduled to Monday. Check the notice board."
"fraud","Fake Delivery Scam","Delhivery Notice: Urgent! Your package is delayed. Verify at http://delhivery-checknow.com or risk losing it!"
"fraud","Job Offer Scam","IMMEDIATE OPENING! ₹600/day from home. No skills needed. Hurry: http://easyearnindia.org"
"normal","Family","Bhai, need your advice on something. Call me when free?"
"fraud","Identity Theft","Immediate action needed! Protect your Aadhaar at http://id-lockindia.in or face legal consequences!"
"normal","Social","Hey, craving some vada pav. Wanna grab a bite today?"
"fraud","Job Offer Scam","HURRY! Work-from-home job, ₹40,000/month. Apply before it’s gone: http://topcareerhub.in"
"fraud","Financial Fraud","ATTENTION: Rs. 2,000 withdrawn without consent. Confirm at http://bankalert-secure.com to stop further loss!"
"fraud","Subscription Scam","Hurry! Your Voot subscription will be deactivated. Save it at http://voot-indiaupdate.com before midnight!"
"normal","Work Update","Just a heads up, deadline for the report is today by 5 pm. Hurry!"
"fraud","Lottery Scam","Urgent! Your Rs. 7 lakh lottery win expires today! Visit http://claimlottery.prizehub.in to grab it now! Don’t miss out!"
"fraud","Investment Scams","Emergency! Double your money in 48 hrs with our secret plan. Act fast: http://instawealth-ind.com"
"fraud","Lottery Scam","Urgent Alert! Rs. 12 lakh lottery win expires in 24 hrs! Visit http://lotterybonus.getquick.in to claim immediately!"
"fraud","Fake Delivery Scam","Flipkart Delivery: Parcel on hold due to ₹50 fee. Pay immediately at http://flipkart-payfee.com to get it delivered!"
"normal","Sports","Hey, hockey match on TV tonight. India vs Aus. Watch party?"
"normal","Sports","Saw the India-Pakistan match rerun. Goosebumps, man!"
"normal","Travel","Reminder: Visa docs for Dubai trip due tomorrow. Send me yours ASAP."
"fraud","Job Offer Scam","DREAM JOB! Earn ₹25,000/month remotely. Slots closing today! Visit: http://fastjobsecure.net"
"fraud","Phishing","Bank of Baroda Alert: Suspicious transaction detected. Secure account at http://bob-safetycheck.in urgently!"
"fraud","Service Fraud","Warning! Your mobile number will be blocked. Pay dues at http://safe.mobileverify-ind.com to prevent this!"
"fraud","Loan Scam","Instant cash! Rs. 3.5 lakhs loan for you. Zero hassle! Apply: http://moneyquick.loantrust.in or dial 9887766554."
"fraud","Financial Fraud","EMERGENCY: Your Axis Bank account is compromised. Update details at http://axis-safeguard.com immediately!"
"normal","Delivery Update","Hey, your order is on the move! Likely to reach by tomorrow morning."
"fraud","Impersonation","Hi, this is Anil from Accounts. Need Rs. 1500 in Paytm vouchers for an urgent payment. Reply with codes!"
"normal","Delivery Update","Quick update: Your delivery is set for today. Keep an eye out!"
"normal","Work Update","Hey, the boss wants updates on the Delhi project. Ping me ASAP."
"normal","Sports","Hey, cricket practice at the local ground at 5 PM. You coming?"
"fraud","Investment Scams","Exclusive! Earn ₹20,000 in a week with our RBI-backed plan. Join: http://safeinvest-india.net"
"fraud","Emotional Manipulation","Mom, I’ve been in a car crash in Bangalore. Need Rs. 6,000 for treatment. Click http://accident-aid.in. I’m in pain!"
"normal","Sports","Bro, our school football team won 3-2! What a comeback!"
"normal","Family","Hey Mom, missing your aloo parathas! Coming over this weekend."
"normal","Delivery Update","Hi, your item is en route. Delivery expected by tomorrow in Mumbai."
"normal","Entertainment","Yo, there’s a stand-up comedy show in Delhi this Sat. Vir Das live! Coming?"
"normal","Recreation","Hi, let’s play badminton at the club tomorrow evening. Game on?"
"normal","Education","Reminder: Submit your project report by 5 PM today on the college portal. Don’t miss it!"
"fraud","Impersonation","Hi, it’s Priya, your manager. Buy Rs. 3000 in Flipkart gift cards for a client. Text codes ASAP. Critical!"
"fraud","Tech Support Scam","Emergency! Hacker access on your device. Call 1-844-222-3344 immediately to stop theft!"
"fraud","Subscription Scam","Your MX Player Premium is at risk. Update payment at http://mxplayer-indiafix.com or lose benefits today!"
"fraud","Identity Theft","Help! Your identity details are leaked. Secure them at http://id-rescueindia.in before it’s too late!"
"normal","Social","Just saw your story—those lehenga vibes! Coffee soon?"
"fraud","Impersonation","Hi, it’s Ravi from HR. Need Rs. 2000 in Amazon gift cards for a team reward. Send codes now. Urgent!"
"fraud","Phishing","Emergency! Your Paytm wallet is compromised. Protect it now at http://paytm-safetyzone.in or risk losing funds!"
"fraud","Impersonation","Income Tax Dept: Your refund is blocked due to an error. Resolve immediately at: http://itax-refundindia.com"
"fraud","Emotional Manipulation","Papa, I’m in deep trouble. Got arrested in Delhi. Need Rs. 10,000 for bail. Help urgently at http://bailout-india.com. I’m scared!"
"normal","Education","Reminder: Pay your semester fees by this Friday to avoid late fines. Hurry!"
"normal","Delivery Update","Hey, your package has been delivered! Drop us a msg if there’s any issue."
"normal","Travel","Booked a cab for our Agra trip tomorrow. Taj Mahal, here we come!"
"normal","Service Inquiry","Hi, do you have any packages for wedding photography?"
"normal","Sports","Yo, let’s play gully cricket tomorrow morning. Bring your bat!"
"fraud","Tech Support Scam","Warning! Malware detected on your system. Click http://techsafe-india.com to fix it urgently!"
"fraud","Job Offer Scam","JOB ALERT! Earn ₹30,000/month from home. Limited seats! Apply now at: http://quickjobindia.co"
"normal","Social","Your latest reel on Insta is hilarious! Let’s hang out, na?"
"fraud","Lottery Scam","Congrats! You've won Rs. 5 lakhs in the Diwali Lottery! Claim now at http://diwalibonus.winfast.in or lose it by midnight!"
"normal","Travel","Hey, just booked our Goa trip for New Year! Check WhatsApp for the itinerary."
"normal","Recreation","Hi, wanna try paragliding in Lonavala this weekend? Sounds fun!"
"normal","Service Inquiry","Hi, are there any special Diwali offers on your services?"
"fraud","Emotional Manipulation","Bro, I’m injured after a fight in Pune. Need Rs. 5,500 for hospital bills. Help at http://urgentmed-india.com. I’m suffering!"
"fraud","Impersonation","Urgent! This is Aadhaar Office. Link your number or face suspension: http://aadhaar-linknow.org"
"fraud","Investment Scams","Warning! Miss this & lose big! ₹500 = ₹5000 in 5 days. Go to: http://rapidprofit-delhi.com"
"fraud","Financial Fraud","CRITICAL: Your PNB debit card is suspended. Reactivate now at http://pnb-cardrestore.com or lose access!"
"normal","Social","Hey, how’s it going? Been a while since we caught up!"
"fraud","Investment Scams","Invest ₹1000 today, get ₹8000 by next week! Limited offer, click: http://goldencash-india.com"
"normal","Entertainment","Hey, the new Bollywood movie trailer is out! Looks epic. Wanna watch it this Fri?"
"normal","Delivery Update","Good news! Your order is on its way and should reach by evening today."
"normal","Education","Good news! Library is open till 8 PM this week for exam prep. Grab your books!"
