text,label,scam_category
"hello sir, your SBI account is compromised. Share your account number and PIN to secure it immediately.",fraud,Financial Fraud
"hey, can you send me the meeting link for tomorrow? Thanks!",normal,na
"hi, it's your friend Neha. I'm struggling with bills and need 10,000 INR.",intermediate,na
"hello, i am from bank KYC team. Please share your Aadhar number to complete verification.",fraud,Identity Theft
good morning! Hope you're having a great day.,normal,na
"hi, it's your colleague Rakesh. I'm in a financial crisis and need 15,000 INR.",intermediate,na
"hi, your Paytm account needs verification to continue. Please call 09876543211 to confirm your details.",fraud,Phishing
can you pick up some groceries on your way home? Need milk and bread.,normal,na
"hi, it's your neighbor Anil. I'm short on cash for groceries, can you send 3,000 INR? UPI: anil789@upi.",fraud,Emotional Manipulation
"hi, this is from the Tax department. Call 09876543223 to discuss your filing.",fraud,Impersonation
just saw your missed call. What's up?,normal,na
"hi, this is from the Tax department. we need to discuss your filing.",intermediate,na
"hi, your PhonePe account requires verification. Call 09876543217 to update.",fraud,Phishing
thanks for the party invite! I'll be there by 7 PM.,normal,na
"hi, your PhonePe account needs verification.",intermediate,na
"hello, your Jio SIM will be deactivated in 24 hours. Share the OTP sent to your phone to activate.",fraud,Service Fraud
"hey, can you share the recipe for that cake? It was delicious!",normal,na
"hi, it's your old classmate Vikram. I'm short on rent and need 5,000 INR.",intermediate,na
your Amazon account is locked! Click here to unlock: http://amazon.security.xyz and enter your details.,fraud,Phishing
let's catch up soon. When are you free?,normal,na
"hi, it's your niece Priya. I lost my wallet and need 2,000 INR for bus fare.",intermediate,na
"hello, your HDFC loan EMI is overdue. Pay 10,000 INR via this link: http://hdfc.emi.xyz to avoid penalties.",fraud,Financial Fraud
can you send me the address for the event? Got lost last time!,normal,na
"hey, it's your friend Sanjay. Need 7,000 INR for a car repair.",intermediate,na
"hello sir, i am from Aadhar office. Your Aadhar is suspended. Share your Aadhar number and OTP to reactivate.",fraud,Identity Theft
happy birthday! Hope you have an amazing day!,normal,na
"hi, it's your cousin Meena. I'm stuck at the airport and need 4,000 INR.",intermediate,na
"this is Income Tax officer Patil. You owe 75,000 INR in taxes. Pay now or face jail. Call 09887654321.",fraud,Impersonation
just checking if you're free for a call later today.,normal,na
"hi, it's your colleague Priya. I'm behind on rent and need 6,000 INR.",intermediate,na
"you've won a 10,000 INR Flipkart voucher! Claim it here: http://flipkart.lucky.xyz and enter your card details.",fraud,Phishing
are you coming to the party tonight? Let me know!,normal,na
"hey, it's your old friend Rohan. Need 5,000 INR for a medical bill.",intermediate,na
"hello, your Airtel broadband will be disconnected tonight. Pay 2000 INR via UPI: airtelcare@okaxis.",fraud,Service Fraud
"hey, can you send me the Zoom link for today's meeting?",normal,na
"hi, it's your classmate Neeta. I'm in a pinch and need 2,000 INR.",intermediate,na
"hello, your ICICI debit card is blocked. Share your card number and CVV to unblock it.",fraud,Financial Fraud
"hi, let's grab dinner this weekend. Any place you prefer?",normal,na
"hi, it's your uncle Vinod. Need 8,000 INR for a family issue.",intermediate,na
"hello, i am from PAN card office. Your PAN needs linking to Aadhar. Share both numbers and OTP.",fraud,Identity Theft
just finished the book you recommended. Loved it!,normal,na
"hey, it's your neighbor Sunita. Need 4,000 INR for school fees.",intermediate,na
"this is Tax officer Desai. You're eligible for a 15,000 INR refund. Share your bank details to process.",fraud,Impersonation
"hey, are you free for a movie night on Saturday?",normal,na
"hi, it's your friend Arjun. I'm short on cash and need 5,000 INR.",intermediate,na
your Paytm account is at risk! Update KYC here: http://paytm.kycupdate.co and enter your details.,fraud,Phishing
"hi, can you share the group photo from the party?",normal,na
"hi, it's your cousin Rahul. Need 3,000 INR for a bus ticket.",intermediate,na
"hello, your Vi SIM needs verification. Reply with the OTP to avoid disconnection.",fraud,Service Fraud
"just checking in, how's your new job going?",normal,na
"hey, it's your colleague Deepak. Need 6,000 INR for an emergency.",intermediate,na
your Google Pay account is compromised! Secure it here: http://gpay.security.xyz and enter your details.,fraud,Phishing
"hey, I'm at the mall. Need anything?",normal,na
"hi, it's your friend Shalini. I'm struggling this month and need 4,000 INR.",intermediate,na
"hello sir, your Axis Bank account is frozen. Share your account number and PIN to unfreeze it.",fraud,Financial Fraud
"hi, can you confirm the time for tomorrow's call?",normal,na
"hi, it's your neighbor Vikram. Need 5,000 INR for a repair.",intermediate,na
"hello, i am from voter ID office. Your ID needs re-verification. Share your ID number and OTP.",fraud,Identity Theft
"just saw your post, congrats on the promotion!",normal,na
"hey, it's your classmate Anjali. Need 3,000 INR for a project.",intermediate,na
"this is Police officer Verma. You're linked to a cybercrime. Pay 80,000 INR to avoid arrest. Call 09876543210.",fraud,Impersonation
"hey, let's plan a hike this Sunday. You in?",normal,na
"hi, it's your friend Manoj. Need 7,000 INR for a family matter.",intermediate,na
"you've won a 20,000 INR Amazon voucher! Claim it here: http://amazon.winner.xyz and enter your bank details.",fraud,Phishing
"hi, can you send me the recipe for your pasta dish?",normal,na
"hi, it's your cousin Priyanka. Need 2,000 INR for travel.",intermediate,na
"hello, your BSNL SIM will be blocked in 12 hours. Pay 500 INR via UPI: bsnlcare@okhdfc.",fraud,Service Fraud
"just got home, thanks for the ride earlier!",normal,na
"hey, it's your colleague Suresh. Need 5,000 INR for a bill.",intermediate,na
"hello, your PNB account has unauthorized transactions. Share your account details and PIN to stop them.",fraud,Financial Fraud
"hey, are we still meeting at the café at 5 PM?",normal,na
"hi, it's your friend Kavita. I'm in a tight spot and need 4,000 INR.",intermediate,na
"hello, i am from EPFO. Your PF account needs verification. Share your UAN and OTP now.",fraud,Identity Theft
"hi, happy anniversary! Hope you guys have a great day!",normal,na
"hi, it's your neighbor Rajesh. Need 6,000 INR for a medical expense.",intermediate,na
